Year,runtime,vote_average,Action,Animation,Aventure,Comédie,Crime,Documentaire,Drame,Familial,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Thriller,Téléfilm,Western
0.9550561797752835,0.5696202531645569,0.8452804220667508,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8314606741573058,0.3080168776371308,0.8030737469893336,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9101123595505634,0.5569620253164557,0.8714302098864549,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0.9438202247191008,0.40506329113924044,0.8372519784378943,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9887640449438209,0.43459915611814337,0.7913751577015714,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9325842696629216,0.2953586497890295,0.703979814198876,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8876404494382015,0.2700421940928269,0.6734717284092213,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.33333333333333326,0.7526092441793785,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.8988764044943842,0.24894514767932488,0.7231333868562909,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.3797468354430379,0.7339144397293268,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9887640449438209,0.38818565400843874,0.6881523110448446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0.9325842696629216,0.3417721518987341,0.7386168138547999,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.8314606741573058,0.6075949367088607,0.7955040715678404,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
0.8988764044943842,0.4641350210970463,0.7799059525174906,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8651685393258433,0.5738396624472573,0.6827617846083267,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0.8988764044943842,0.43881856540084385,0.8831287991742173,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8764044943820224,0.5189873417721518,0.8945980043582981,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9101123595505634,0.28691983122362863,0.7286386053446496,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
